seed,rule,clean_share,contaminated_share,ceiling_clean,ceiling_contaminated,composed_ceiling,router_cv_accuracy,selective_accuracy,coverage
42,Tukey 1.5xIQR,0.801625,0.19837499999999997,0.9009823795415562,0.6616257088846881,0.8535,0.848375,0.9054477144646211,0.7985
42,Tukey 2.0xIQR,0.801625,0.19837499999999997,0.9009823795415562,0.6616257088846881,0.8535,0.8465,0.9041953663118347,0.7985
42,Tukey 3.0xIQR,0.802125,0.19787500000000002,0.900109085242325,0.6677195198989261,0.854125,0.848375,0.9061326658322904,0.799
42,90th percentile,0.8,0.19999999999999996,0.90015625,0.67375,0.8548749999999999,0.848625,0.9053884711779449,0.798
42,95th percentile,0.820875,0.17912499999999998,0.8889904065783463,0.6769016050244243,0.851,0.84375,0.8952847519902021,0.8165
42,97.5th percentile,0.91975,0.08025000000000004,0.8553954879043218,0.660436137071651,0.83975,0.8375,0.8633171258779039,0.9255
42,99th percentile,0.987125,0.01287499999999997,0.8444979105989616,0.6504854368932039,0.8420000000000001,0.835625,0.8514198782961461,0.986
7,Tukey 1.5xIQR,0.801375,0.19862500000000005,0.898299797223522,0.657016991818754,0.850375,0.846375,0.9168230143839899,0.7995
7,Tukey 2.0xIQR,0.801375,0.19862500000000005,0.898299797223522,0.657016991818754,0.850375,0.845875,0.9174484052532833,0.7995
7,Tukey 3.0xIQR,0.8015,0.1985,0.897223955084217,0.6649874055415617,0.8511249999999999,0.843875,0.9157829070492826,0.8015
7,90th percentile,0.79975,0.20025000000000004,0.8952797749296655,0.6622971285892634,0.848625,0.84725,0.9193245778611632,0.7995
7,95th percentile,0.820875,0.17912499999999998,0.8842698340185777,0.6706210746685276,0.8460000000000001,0.840125,0.8974984746796827,0.8195
7,97.5th percentile,0.91925,0.08074999999999999,0.8511014413924395,0.695046439628483,0.8385,0.836125,0.8839627805145046,0.9135
7,99th percentile,0.987125,0.01287499999999997,0.8420919336456882,0.6699029126213593,0.839875,0.834625,0.8541666666666666,0.984
2024,Tukey 1.5xIQR,0.7985,0.2015,0.9052911709455228,0.6588089330024814,0.855625,0.8495,0.8884093711467325,0.811
2024,Tukey 2.0xIQR,0.7985,0.2015,0.9052911709455228,0.6588089330024814,0.855625,0.84975,0.8909426987060998,0.8115
2024,Tukey 3.0xIQR,0.799,0.20099999999999996,0.9031602002503129,0.654228855721393,0.8531249999999999,0.8495,0.8854679802955665,0.812
2024,90th percentile,0.797375,0.20262500000000006,0.9054710769713121,0.6693399136335595,0.857625,0.847375,0.8899876390605687,0.809
2024,95th percentile,0.82025,0.17974999999999997,0.8895153916488875,0.6773296244784422,0.851375,0.84675,0.8824242424242424,0.825
2024,97.5th percentile,0.9205,0.07950000000000002,0.8551059206952744,0.690251572327044,0.8420000000000001,0.840125,0.848175965665236,0.932
2024,99th percentile,0.9865,0.013499999999999956,0.8454130765331982,0.6481481481481481,0.84275,0.838875,0.8302172814552804,0.9895
