model,seed,threshold,cv_accuracy,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,specificity,tn,fp,fn,tp,feature_map,n_qubits
LogisticRegression,42,0.5002684984256822,0.82375,0.829,0.829,0.8283433133732535,0.83,0.8291708291708292,0.855826,0.7987757138368244,0.6580013160039481,0.828,828,172,170,830,,
Logistic-poly2,42,0.513592877019104,0.838375,0.85,0.85,0.8593429158110883,0.837,0.8480243161094225,0.8813599999999999,0.8492271110307293,0.7002367200238153,0.863,863,137,163,837,,
RBF-SVM,42,0.5152343749999999,0.846625,0.8535,0.8534999999999999,0.8588832487309644,0.846,0.8523929471032745,0.916709,0.8974307734689237,0.7070795509244703,0.861,861,139,154,846,,
RandomForest,42,0.5089800135436024,0.849,0.8515,0.8515,0.8849945235487404,0.808,0.8447464715107161,0.931148,0.9373810006421728,0.7056757024107375,0.895,895,105,192,808,,
ExtraTrees,42,0.5112005870037808,0.848,0.8545,0.8545,0.8934517203107658,0.805,0.8469226722777485,0.931106,0.9388465279732195,0.7125002047479334,0.904,904,96,195,805,,
HistGradientBoosting,42,0.5050983404228382,0.85,0.849,0.849,0.8704883227176221,0.82,0.8444902162718847,0.931325,0.937886629357038,0.6991770064210778,0.878,878,122,180,820,,
MLP,42,0.586936930637025,0.84625,0.844,0.8440000000000001,0.8747276688453159,0.803,0.8373305526590198,0.926215,0.92326551685944,0.6903247864897379,0.885,885,115,197,803,,
kNN,42,0.5063900458573812,0.82825,0.8345,0.8345,0.8473520249221184,0.816,0.8313805399898115,0.9138405,0.9164676356644248,0.6694584012171814,0.853,853,147,184,816,,
LightGBM,42,0.494919244149432,0.852625,0.843,0.843,0.8618143459915611,0.817,0.8388090349075975,0.9326329999999998,0.939346056816604,0.6869293571615929,0.869,869,131,183,817,,
XGBoost,42,0.4807073771953583,0.851,0.845,0.845,0.8549382716049383,0.831,0.8427991886409736,0.932744,0.939496937157514,0.6902706391462189,0.859,859,141,169,831,,
CatBoost,42,0.5719582404970305,0.850125,0.8525,0.8525,0.8844056706652127,0.811,0.8461137193531559,0.934341,0.94098565648838,0.7074409917595565,0.894,894,106,189,811,,
RegimeRouter,42,0.527557137894265,0.848375,0.856,0.856,0.8763213530655392,0.829,0.8520041109969168,0.922628,0.9335641036880052,0.7130403718469331,0.883,883,117,171,829,,
Ensemble-mean,42,0.4980876411025706,,0.8515,0.8514999999999999,0.8703898840885143,0.826,0.8476141611082606,0.935879,0.9424232265236536,0.7039160388506166,0.877,877,123,174,826,,
Ensemble-rank,42,0.5348333333333333,,0.855,0.855,0.8825431034482759,0.819,0.8495850622406639,0.935603,0.94240243876579,0.7118475062153355,0.891,891,109,181,819,,
Ensemble-weighted,42,0.5003488007783208,,0.8525,0.8525,0.8722280887011615,0.826,0.8484848484848485,0.935871,0.9424199575533876,0.7059922634410326,0.879,879,121,174,826,,
Ensemble-stack,42,0.5573439836975222,,0.856,0.856,0.886117136659436,0.817,0.850156087408949,0.935447,0.9419368768109708,0.7141758373950761,0.895,895,105,183,817,,
QSVM,42,0.0,0.8405,0.835,0.835,0.8571428571428571,0.804,0.8297213622291022,0.918777,0.9260416714600316,0.6712914644871087,0.866,866,134,196,804,zz,9.0
LogisticRegression,7,0.5010098596284814,0.8195,0.837,0.837,0.8390342052313883,0.834,0.8365095285857572,0.8584780000000001,0.8159550120616287,0.6740121323275738,0.84,840,160,166,834,,
Logistic-poly2,7,0.5101839407555422,0.8355,0.852,0.852,0.8599182004089979,0.841,0.8503538928210314,0.8891420000000001,0.8547599009510327,0.7041704298685382,0.863,863,137,159,841,,
RBF-SVM,7,0.5665625,0.836125,0.8515,0.8515,0.9111111111111112,0.779,0.8398921832884098,0.935669,0.9438552489258862,0.710508903184277,0.924,924,76,221,779,,
RandomForest,7,0.52125,0.843,0.866,0.866,0.8978260869565218,0.826,0.8604166666666667,0.940688,0.9472916874665368,0.7343537038231922,0.906,906,94,174,826,,
ExtraTrees,7,0.5304606385926605,0.844125,0.8725,0.8725,0.9180695847362514,0.818,0.8651507139079851,0.944239,0.950957997570722,0.7494655031140481,0.927,927,73,182,818,,
HistGradientBoosting,7,0.5206338928082154,0.84675,0.8605,0.8605,0.8822905620360552,0.832,0.8564076170869789,0.941401,0.9483405057721368,0.7221741263282211,0.889,889,111,168,832,,
MLP,7,0.5019138186200354,0.8435,0.8605,0.8605,0.8782791185729276,0.837,0.8571428571428571,0.930306,0.9365294152990296,0.721797666277146,0.884,884,116,163,837,,
kNN,7,0.5014407129854456,0.83375,0.8405,0.8405,0.8535825545171339,0.822,0.8374936321956189,0.9239355,0.9283797032539808,0.6814666236605389,0.859,859,141,178,822,,
LightGBM,7,0.5491323642467574,0.84625,0.8615,0.8614999999999999,0.8858057630736392,0.83,0.856995353639649,0.942614,0.9494789355682326,0.7244390786971899,0.893,893,107,170,830,,
XGBoost,7,0.505361944437027,0.846875,0.86,0.86,0.8742203742203742,0.841,0.8572884811416922,0.944011,0.9505199322257396,0.7205204036650378,0.879,879,121,159,841,,
CatBoost,7,0.5145088899821941,0.848125,0.8685,0.8685,0.8907741251325557,0.84,0.8646423057128152,0.946113,0.9523655055809856,0.7382001818361983,0.897,897,103,160,840,,
RegimeRouter,7,0.5568056974375857,0.846375,0.8645,0.8645,0.8906752411575563,0.831,0.85980341438179,0.935261,0.9435933244799476,0.7306417700015259,0.898,898,102,169,831,,
Ensemble-mean,7,0.4815641425291602,,0.867,0.867,0.8791322314049587,0.851,0.8648373983739838,0.946883,0.9534641938699786,0.7343760968670544,0.883,883,117,149,851,,
Ensemble-rank,7,0.5302499999999999,,0.8705,0.8705,0.898815931108719,0.835,0.8657335406946605,0.9470445,0.953646853121744,0.742874781565517,0.906,906,94,165,835,,
Ensemble-weighted,7,0.4541871366863887,,0.8665,0.8665,0.8668668668668669,0.866,0.8664332166083042,0.946915,0.9535032324293892,0.7330003665002749,0.867,867,133,134,866,,
Ensemble-stack,7,0.5014688057753017,,0.876,0.876,0.8900414937759336,0.858,0.8737270875763747,0.948048,0.9544304811156368,0.7524877701638366,0.894,894,106,142,858,,
QSVM,7,0.0,0.844,0.8335,0.8334999999999999,0.8455958549222798,0.816,0.8305343511450382,0.923067,0.9315829277570818,0.6674089132274027,0.851,851,149,184,816,zz,9.0
LogisticRegression,2024,0.5184606739103833,0.824375,0.814,0.8140000000000001,0.8264033264033264,0.795,0.8103975535168195,0.851072,0.7967879962204225,0.6284539076411718,0.833,833,167,205,795,,
Logistic-poly2,2024,0.5000795599936119,0.840125,0.828,0.828,0.829979879275654,0.825,0.827482447342026,0.8771150000000001,0.8489148731033449,0.6560118083188256,0.831,831,169,175,825,,
