model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,accuracy_sd,balanced_accuracy_sd,precision_sd,recall_sd,f1_sd,roc_auc_sd,pr_auc_sd,mcc_sd,cv_accuracy,n_seeds
Ensemble-stack,0.856,0.856,0.886117136659436,0.817,0.850156087408949,0.935447,0.9419368768109708,0.7141758373950761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1
RegimeRouter,0.856,0.856,0.8763213530655392,0.829,0.8520041109969168,0.922628,0.9335641036880052,0.7130403718469331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.848375,1
Ensemble-rank,0.855,0.855,0.8825431034482759,0.819,0.8495850622406639,0.935603,0.94240243876579,0.7118475062153355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1
ExtraTrees,0.8545,0.8545,0.8934517203107658,0.805,0.8469226722777485,0.931106,0.9388465279732195,0.7125002047479334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.848,1
RBF-SVM,0.8535,0.8534999999999999,0.8588832487309644,0.846,0.8523929471032745,0.916709,0.8974307734689237,0.7070795509244703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.846625,1
CatBoost,0.8525,0.8525,0.8844056706652127,0.811,0.8461137193531559,0.934341,0.94098565648838,0.7074409917595565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.850125,1
Ensemble-weighted,0.8525,0.8525,0.8722280887011615,0.826,0.8484848484848485,0.935871,0.9424199575533876,0.7059922634410326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1
Ensemble-mean,0.8515,0.8514999999999999,0.8703898840885143,0.826,0.8476141611082606,0.935879,0.9424232265236536,0.7039160388506166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1
RandomForest,0.8515,0.8515,0.8849945235487404,0.808,0.8447464715107161,0.931148,0.9373810006421728,0.7056757024107375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.849,1
Logistic-poly2,0.85,0.85,0.8593429158110883,0.837,0.8480243161094225,0.8813599999999999,0.8492271110307293,0.7002367200238153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.838375,1
HistGradientBoosting,0.849,0.849,0.8704883227176221,0.82,0.8444902162718847,0.931325,0.937886629357038,0.6991770064210778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1
XGBoost,0.845,0.845,0.8549382716049383,0.831,0.8427991886409736,0.932744,0.939496937157514,0.6902706391462189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.851,1
MLP,0.844,0.8440000000000001,0.8747276688453159,0.803,0.8373305526590198,0.926215,0.92326551685944,0.6903247864897379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84625,1
LightGBM,0.843,0.843,0.8618143459915611,0.817,0.8388090349075975,0.9326329999999998,0.939346056816604,0.6869293571615929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.852625,1
QSVM,0.835,0.835,0.8571428571428571,0.804,0.8297213622291022,0.918777,0.9260416714600316,0.6712914644871087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8405,1
kNN,0.8345,0.8345,0.8473520249221184,0.816,0.8313805399898115,0.9138405,0.9164676356644248,0.6694584012171814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82825,1
LogisticRegression,0.829,0.829,0.8283433133732535,0.83,0.8291708291708292,0.855826,0.7987757138368244,0.6580013160039481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82375,1
