model,cv_acc,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,mcc
Ensemble-stack,,0.8607 ± 0.0136,0.8607 ± 0.0136,0.8941 ± 0.0105,0.8187 ± 0.0385,0.8543 ± 0.0178,0.9388 ± 0.0081,0.7245 ± 0.0245
ExtraTrees,0.8462,0.8603 ± 0.0105,0.8603 ± 0.0105,0.904 ± 0.0127,0.8063 ± 0.0111,0.8524 ± 0.0111,0.9348 ± 0.0082,0.7249 ± 0.0213
Ensemble-rank,,0.8602 ± 0.0089,0.8602 ± 0.0089,0.8916 ± 0.0083,0.82 ± 0.0145,0.8543 ± 0.01,0.9387 ± 0.0073,0.7227 ± 0.0175
Ensemble-weighted,,0.8575 ± 0.0078,0.8575 ± 0.0078,0.8766 ± 0.0125,0.8327 ± 0.0306,0.8537 ± 0.0111,0.9386 ± 0.0073,0.7164 ± 0.0145
Ensemble-mean,,0.8573 ± 0.0084,0.8573 ± 0.0084,0.88 ± 0.0101,0.8277 ± 0.0225,0.8529 ± 0.0104,0.9386 ± 0.0073,0.7162 ± 0.0161
CatBoost,0.849,0.8572 ± 0.0099,0.8572 ± 0.0099,0.8898 ± 0.005,0.8153 ± 0.0228,0.8508 ± 0.0122,0.9376 ± 0.0074,0.717 ± 0.0184
RandomForest,0.8455,0.8555 ± 0.0092,0.8555 ± 0.0092,0.8965 ± 0.0109,0.804 ± 0.0242,0.8475 ± 0.0117,0.9329 ± 0.0071,0.7151 ± 0.0167
RegimeRouter,0.8481,0.8552 ± 0.0098,0.8552 ± 0.0098,0.8843 ± 0.0073,0.8173 ± 0.022,0.8494 ± 0.012,0.9255 ± 0.0087,0.7125 ± 0.0184
HistGradientBoosting,0.8478,0.8527 ± 0.0068,0.8527 ± 0.0068,0.8776 ± 0.0063,0.8197 ± 0.0125,0.8476 ± 0.0077,0.9339 ± 0.0066,0.7069 ± 0.0132
LightGBM,0.8488,0.851 ± 0.0095,0.851 ± 0.0095,0.8808 ± 0.017,0.8123 ± 0.0204,0.845 ± 0.0104,0.9353 ± 0.0064,0.7044 ± 0.0189
MLP,0.8458,0.8507 ± 0.0087,0.8507 ± 0.0087,0.8733 ± 0.0058,0.8203 ± 0.017,0.8459 ± 0.0102,0.9283 ± 0.002,0.7027 ± 0.0168
XGBoost,0.8483,0.8507 ± 0.0081,0.8507 ± 0.0081,0.8721 ± 0.0163,0.8223 ± 0.0242,0.8462 ± 0.0098,0.9359 ± 0.0071,0.7029 ± 0.0158
RBF-SVM,0.8429,0.849 ± 0.0061,0.849 ± 0.0061,0.8777 ± 0.029,0.8127 ± 0.0335,0.8432 ± 0.0081,0.9267 ± 0.0095,0.7009 ± 0.0138
Logistic-poly2,0.838,0.8433 ± 0.0133,0.8433 ± 0.0133,0.8497 ± 0.0171,0.8343 ± 0.0083,0.842 ± 0.0126,0.8825 ± 0.0061,0.6868 ± 0.0267
kNN,0.8306,0.8362 ± 0.0038,0.8362 ± 0.0038,0.8518 ± 0.0039,0.814 ± 0.0092,0.8324 ± 0.0046,0.918 ± 0.0053,0.673 ± 0.0073
QSVM,0.8393,0.8335 ± 0.0015,0.8335 ± 0.0015,0.8538 ± 0.0071,0.805 ± 0.0105,0.8286 ± 0.0027,0.9198 ± 0.0028,0.6682 ± 0.0028
LogisticRegression,0.8225,0.8267 ± 0.0117,0.8267 ± 0.0117,0.8313 ± 0.0068,0.8197 ± 0.0215,0.8254 ± 0.0135,0.8551 ± 0.0038,0.6535 ± 0.0231
