seed,n_qubits,reps,fmap,alpha,readout,val_accuracy,n_params,train_loss,seconds
42,4,2,zz,0.25,parity,0.7875,14,0.595129801213913,0.76
42,4,2,zz,0.25,z0,0.788,14,0.5851119966125033,0.76
42,4,2,zz,0.5,parity,0.7995,14,0.521300904987806,0.74
42,4,2,zz,0.5,z0,0.791,14,0.5182695176077157,0.7
42,4,2,zz,1.0,parity,0.779,14,0.48838895068775606,0.75
42,4,2,zz,1.0,z0,0.724,14,0.5483930405877793,0.72
42,4,2,z,0.25,parity,0.8075,14,0.6292556997815303,0.72
42,4,2,z,0.25,z0,0.7975,14,0.6404896839150697,0.76
42,4,2,z,0.5,parity,0.8075,14,0.5531675034252475,0.73
42,4,2,z,0.5,z0,0.813,14,0.5573197326050686,0.93
42,4,2,z,1.0,parity,0.815,14,0.47725810650617756,0.72
42,4,2,z,1.0,z0,0.811,14,0.4774932906257486,0.72
42,4,4,zz,0.25,parity,0.7905,22,0.5948753760239163,0.81
42,4,4,zz,0.25,z0,0.8065,22,0.5941517008590816,0.84
42,4,4,zz,0.5,parity,0.822,22,0.4801233389365127,0.78
42,4,4,zz,0.5,z0,0.8125,22,0.4868043801199135,0.74
42,4,4,zz,1.0,parity,0.7785,22,0.4806400281751863,0.76
42,4,4,zz,1.0,z0,0.7845,22,0.4892549725291095,0.76
42,4,4,z,0.25,parity,0.7935,22,0.63700870201062,0.87
42,4,4,z,0.25,z0,0.8105,22,0.6378175446877294,0.82
42,4,4,z,0.5,parity,0.816,22,0.5564579997409673,0.8
42,4,4,z,0.5,z0,0.8115,22,0.5787632224789142,0.77
42,4,4,z,1.0,parity,0.8165,22,0.4983832605806257,0.78
42,4,4,z,1.0,z0,0.818,22,0.5057915009000914,0.85
42,6,2,zz,0.25,parity,0.7765,20,0.6137161852306237,1.45
42,6,2,zz,0.25,z0,0.7905,20,0.6039417411104978,1.47
42,6,2,zz,0.5,parity,0.7925,20,0.5155226016698566,1.29
42,6,2,zz,0.5,z0,0.7445,20,0.5812713010546352,1.57
42,6,2,zz,1.0,parity,0.744,20,0.5182655981389144,1.49
42,6,2,zz,1.0,z0,0.7935,20,0.4981368637441484,1.31
42,6,2,z,0.25,parity,0.8005,20,0.643525545298868,1.24
42,6,2,z,0.25,z0,0.803,20,0.6251605593181486,1.52
42,6,2,z,0.5,parity,0.8075,20,0.5534027546148947,1.44
42,6,2,z,0.5,z0,0.803,20,0.560387889449157,1.42
42,6,2,z,1.0,parity,0.808,20,0.4577500900729864,1.3
42,6,2,z,1.0,z0,0.82,20,0.4684142501374149,1.4
42,6,4,zz,0.25,parity,0.794,32,0.589954533832674,1.52
42,6,4,zz,0.25,z0,0.803,32,0.597007143242573,1.55
42,6,4,zz,0.5,parity,0.802,32,0.4908770256544356,1.57
42,6,4,zz,0.5,z0,0.7955,32,0.49195287309221086,1.63
42,6,4,zz,1.0,parity,0.8005,32,0.466694952977556,1.51
42,6,4,zz,1.0,z0,0.784,32,0.4730596295117396,1.61
42,6,4,z,0.25,parity,0.8075,32,0.6493968871186054,1.53
42,6,4,z,0.25,z0,0.813,32,0.6289453225588322,1.58
42,6,4,z,0.5,parity,0.8055,32,0.5660634219240205,1.52
42,6,4,z,0.5,z0,0.8125,32,0.5460564911013919,1.41
42,6,4,z,1.0,parity,0.815,32,0.4704584404977754,1.58
42,6,4,z,1.0,z0,0.816,32,0.48337879857091975,1.45
42,8,2,zz,0.25,parity,0.791,26,0.6092796529098814,9.2
42,8,2,zz,0.25,z0,0.782,26,0.5929600419137054,9.68
42,8,2,zz,0.5,parity,0.782,26,0.523097681555197,9.7
42,8,2,zz,0.5,z0,0.755,26,0.5665141870332004,8.51
42,8,2,zz,1.0,parity,0.761,26,0.5148436264755314,9.1
42,8,2,zz,1.0,z0,0.7905,26,0.5013563412321819,8.91
42,8,2,z,0.25,parity,0.804,26,0.6405584472481082,8.99
42,8,2,z,0.25,z0,0.7935,26,0.6394656549453865,9.77
